('user1@mail.cl', '11111111-1', 'user1', 'clave1', 'Bibliotecóloga'),
('user2@mail.cl', '11111111-2', 'user2', 'clave2', 'Bibliotecóloga'),
('user3@mail.cl', '11111111-3', 'user3', 'clave3', 'Bibliotecóloga'),
('user4@mail.cl', '11111111-4', 'user4', 'clave4', 'Bibliotecóloga'),
('user5@mail.cl', '11111111-5', 'user5', 'clave5', 'Bibliotecóloga'),
('user6@mail.cl', '11111111-6', 'user6', 'clave6', 'Bibliotecóloga'),
('user7@mail.cl', '11111111-7', 'user7', 'clave7', 'Bibliotecóloga'),
('user8@mail.cl', '11111111-8', 'user8', 'clave8', 'Bibliotecóloga'),
('user9@mail.cl', '11111111-9', 'user9', 'clave9', 'Bibliotecóloga'),
('user10@mail.cl', '11111111-10', 'user10', 'clave10', 'Bibliotecóloga'),
('user11@mail.cl', '11111111-11', 'user11', 'clave11', 'Bibliotecóloga'),
('user12@mail.cl', '11111111-12', 'user12', 'clave12', 'Bibliotecóloga'),
('user13@mail.cl', '11111111-13', 'user13', 'clave13', 'Bibliotecóloga'),
('user14@mail.cl', '11111111-14', 'user14', 'clave14', 'Bibliotecóloga'),
('user15@mail.cl', '11111111-15', 'user15', 'clave15', 'Bibliotecóloga'),
('user16@mail.cl', '11111111-16', 'user16', 'clave16', 'Bibliotecóloga'),
('user17@mail.cl', '11111111-17', 'user17', 'clave17', 'Bibliotecóloga'),
('user18@mail.cl', '11111111-18', 'user18', 'clave18', 'Bibliotecóloga'),
('user19@mail.cl', '11111111-19', 'user19', 'clave19', 'Bibliotecóloga'),
('user20@mail.cl', '11111111-20', 'user20', 'clave20', 'Bibliotecóloga'),
('user21@mail.cl', '11111111-21', 'user21', 'clave21', 'Bibliotecóloga'),
('user22@mail.cl', '11111111-22', 'user22', 'clave22', 'Bibliotecóloga'),
('user23@mail.cl', '11111111-23', 'user23', 'clave23', 'Bibliotecóloga'),
('user24@mail.cl', '11111111-24', 'user24', 'clave24', 'Bibliotecóloga'),
('user25@mail.cl', '11111111-25', 'user25', 'clave25', 'Bibliotecóloga'),
('user26@mail.cl', '11111111-26', 'user26', 'clave26', 'Bibliotecóloga'),
('user27@mail.cl', '11111111-27', 'user27', 'clave27', 'Bibliotecóloga'),
('user28@mail.cl', '11111111-28', 'user28', 'clave28', 'Bibliotecóloga'),
('user29@mail.cl', '11111111-29', 'user29', 'clave29', 'Bibliotecóloga'),
('user30@mail.cl', '11111111-30', 'user30', 'clave30', 'Bibliotecóloga'),
('user31@mail.cl', '11111111-31', 'user31', 'clave31', 'Bibliotecóloga'),
('user32@mail.cl', '11111111-32', 'user32', 'clave32', 'Bibliotecóloga'),
('user33@mail.cl', '11111111-33', 'user33', 'clave33', 'Bibliotecóloga'),
